Date,BTC,ETH
21/11/2018,4602.169922,136.701004
22/11/2018,4365.939941,126.706001
23/11/2018,4347.109863,123.295998
24/11/2018,3880.76001,113.494003
25/11/2018,4009.969971,116.449997
26/11/2018,3779.129883,108.334999
27/11/2018,3820.719971,110.010002
28/11/2018,4257.419922,122.438004
29/11/2018,4278.84668,117.542648
30/11/2018,4017.268555,113.171417
01/12/2018,4214.671875,118.635559
02/12/2018,4139.87793,116.388901
03/12/2018,3894.130859,108.925018
04/12/2018,3956.893799,110.214188
05/12/2018,3753.994873,102.475555
06/12/2018,3521.101807,91.761055
07/12/2018,3419.937256,93.294563
08/12/2018,3476.114746,92.159637
09/12/2018,3614.234375,95.142059
10/12/2018,3502.656006,91.685654
11/12/2018,3424.588135,88.945305
12/12/2018,3486.950195,90.5933
13/12/2018,3313.677246,86.539314
14/12/2018,3242.484863,84.308296
15/12/2018,3236.761719,84.440811
16/12/2018,3252.839111,85.2621
17/12/2018,3545.864746,95.133827
18/12/2018,3696.059082,101.112457
19/12/2018,3745.950684,101.268578
20/12/2018,4134.441406,116.216873
21/12/2018,3896.543701,109.496231
22/12/2018,4014.182617,116.759499
23/12/2018,3998.980225,130.765259
24/12/2018,4078.599121,140.238007
25/12/2018,3815.490723,129.844345
26/12/2018,3857.297607,131.865631
27/12/2018,3654.833496,116.575912
28/12/2018,3923.918701,137.647018
29/12/2018,3820.408691,138.018341
30/12/2018,3865.952637,139.859451
31/12/2018,3742.700439,133.368256
01/01/2019,3843.52002,140.819412
02/01/2019,3943.409424,155.047684
03/01/2019,3836.741211,149.13501
04/01/2019,3857.717529,154.58194
05/01/2019,3845.19458,155.638596
06/01/2019,4076.632568,157.746201
07/01/2019,4025.248291,151.699219
08/01/2019,4030.8479,150.359634
09/01/2019,4035.296387,150.803116
10/01/2019,3678.924561,128.625183
11/01/2019,3687.365479,127.548325
12/01/2019,3661.301025,125.96653
13/01/2019,3552.953125,116.897804
14/01/2019,3706.052246,129.068726
15/01/2019,3630.675293,122.032715
16/01/2019,3655.006836,123.547066
17/01/2019,3678.563965,123.74192
18/01/2019,3657.839355,121.010262
19/01/2019,3728.568359,124.51902
20/01/2019,3601.013672,119.474831
21/01/2019,3576.032471,117.157852
22/01/2019,3604.577148,118.747551
23/01/2019,3585.123047,117.452606
24/01/2019,3600.865479,117.362885
25/01/2019,3599.765869,116.378342
26/01/2019,3602.460449,116.488739
27/01/2019,3583.96582,113.405289
28/01/2019,3470.450439,106.589973
29/01/2019,3448.116943,105.598213
30/01/2019,3486.181641,108.907539
31/01/2019,3457.792725,107.061012
01/02/2019,3487.945313,107.609787
02/02/2019,3521.060791,110.43026
03/02/2019,3464.013428,107.492668
04/02/2019,3459.154053,107.821602
05/02/2019,3466.357422,107.44352
06/02/2019,3413.767822,104.919289
07/02/2019,3399.47168,104.535301
08/02/2019,3666.780273,119.267746
09/02/2019,3671.203613,119.430885
10/02/2019,3690.188232,124.806488
11/02/2019,3648.430664,121.298393
12/02/2019,3653.528564,122.572289
13/02/2019,3632.070557,122.553604
14/02/2019,3616.880859,121.390205
15/02/2019,3620.810791,122.100388
16/02/2019,3629.787598,123.260216
17/02/2019,3673.836182,133.598877
18/02/2019,3915.714355,146.098373
19/02/2019,3947.094482,145.346191
20/02/2019,3999.820557,149.554337
21/02/2019,3954.118164,146.130844
22/02/2019,4005.526611,149.092453
23/02/2019,4142.526855,158.795425
24/02/2019,3810.42749,135.852661
25/02/2019,3882.696289,139.822861
26/02/2019,3854.35791,138.089676
27/02/2019,3851.047363,136.125961
28/02/2019,3854.7854,136.746246
01/03/2019,3859.58374,136.443619
02/03/2019,3864.415039,134.206955
03/03/2019,3847.175781,132.24942
04/03/2019,3761.557129,127.774124
05/03/2019,3896.375,137.822388
06/03/2019,3903.942627,138.789352
07/03/2019,3911.484375,138.0345
08/03/2019,3901.131592,135.127075
09/03/2019,3963.313721,137.965332
10/03/2019,3951.599854,136.758682
11/03/2019,3905.227295,133.83403
12/03/2019,3909.15625,134.442886
13/03/2019,3906.717285,133.263077
14/03/2019,3924.369141,133.711594
15/03/2019,3960.911133,137.691788
16/03/2019,4048.72583,142.398178
17/03/2019,4025.229004,140.000549
18/03/2019,4032.507324,139.374603
19/03/2019,4071.190186,140.519196
20/03/2019,4087.476318,140.686356
21/03/2019,4029.326904,136.636063
22/03/2019,4023.968262,137.181442
23/03/2019,4035.826416,138.239868
24/03/2019,4022.168213,136.986923
25/03/2019,3963.070557,135.031021
26/03/2019,3985.080811,135.460358
27/03/2019,4087.066162,140.988159
28/03/2019,4069.107178,139.416473
29/03/2019,4098.374512,142.497421
30/03/2019,4106.660156,142.092682
31/03/2019,4105.404297,141.514099
01/04/2019,4158.183105,141.830322
02/04/2019,4879.87793,163.961746
03/04/2019,4973.021973,161.458801
04/04/2019,4922.798828,158.052536
05/04/2019,5036.681152,165.514847
06/04/2019,5059.817383,165.947205
07/04/2019,5198.896973,174.531647
08/04/2019,5289.770996,180.25882
09/04/2019,5204.958496,176.114578
10/04/2019,5324.551758,177.337479
11/04/2019,5064.487793,165.497025
12/04/2019,5089.539063,164.736328
13/04/2019,5096.586426,164.513351
14/04/2019,5167.722168,167.838516
15/04/2019,5067.108398,161.574173
16/04/2019,5235.55957,167.623444
17/04/2019,5251.937988,166.95076
18/04/2019,5298.385742,173.814026
19/04/2019,5303.8125,173.708435
20/04/2019,5337.88623,173.751266
21/04/2019,5314.53125,170.046524
22/04/2019,5399.365234,171.874664
23/04/2019,5572.362305,171.4478
24/04/2019,5464.866699,165.826096
25/04/2019,5210.515625,154.459396
26/04/2019,5279.348145,156.347092
27/04/2019,5268.291016,158.434937
28/04/2019,5285.13916,157.295074
29/04/2019,5247.352539,155.201996
30/04/2019,5350.726563,162.166031
01/05/2019,5402.697266,160.818344
02/05/2019,5505.283691,162.122787
03/05/2019,5768.289551,167.952408
04/05/2019,5831.16748,164.026581
05/05/2019,5795.708496,163.450699
06/05/2019,5746.807129,172.653214
07/05/2019,5829.501465,169.79866
08/05/2019,5982.45752,170.948166
09/05/2019,6174.528809,170.289307
10/05/2019,6378.849121,173.142746
11/05/2019,7204.771484,194.304337
12/05/2019,6972.371582,187.325317
13/05/2019,7814.915039,196.846283
14/05/2019,7994.416016,217.148575
15/05/2019,8205.167969,247.153061
16/05/2019,7884.90918,264.01001
17/05/2019,7343.895508,243.764587
18/05/2019,7271.208008,234.59523
19/05/2019,8197.689453,261.292206
20/05/2019,7978.309082,251.86441
21/05/2019,7963.327637,255.215881
22/05/2019,7680.066406,244.698914
23/05/2019,7881.84668,245.965668
24/05/2019,7987.371582,249.484985
25/05/2019,8052.543945,251.759872
26/05/2019,8673.21582,267.069641
27/05/2019,8805.77832,272.86264
28/05/2019,8719.961914,271.768707
29/05/2019,8659.487305,269.455688
30/05/2019,8319.472656,255.858948
31/05/2019,8574.501953,268.113556
01/06/2019,8564.016602,265.391266
02/06/2019,8742.958008,270.225525
03/06/2019,8208.995117,252.607925
04/06/2019,7707.770996,241.338791
05/06/2019,7824.231445,247.05101
06/06/2019,7822.023438,249.474335
07/06/2019,8043.951172,250.930359
08/06/2019,7954.12793,245.738098
09/06/2019,7688.077148,233.0867
10/06/2019,8000.32959,247.520126
11/06/2019,7927.714355,245.78183
12/06/2019,8145.857422,260.90329
13/06/2019,8230.923828,256.168793
14/06/2019,8693.833008,264.087463
15/06/2019,8838.375,269.019318
16/06/2019,8994.488281,269.223206
17/06/2019,9320.352539,274.351105
18/06/2019,9081.762695,265.051849
19/06/2019,9273.521484,269.431793
20/06/2019,9527.160156,271.695007
21/06/2019,10144.55664,294.910278
22/06/2019,10701.69141,309.38031
23/06/2019,10855.37109,307.827789
24/06/2019,11011.10254,310.424683
25/06/2019,11790.91699,318.126312
26/06/2019,13016.23145,336.753174
27/06/2019,11182.80664,294.267639
28/06/2019,12407.33203,311.226105
29/06/2019,11959.37109,320.058899
30/06/2019,10817.15527,290.695984
01/07/2019,10583.13477,293.641113
02/07/2019,10801.67773,291.596436
03/07/2019,11961.26953,303.099976
04/07/2019,11215.4375,284.523224
05/07/2019,10978.45996,287.997528
06/07/2019,11208.55078,287.547119
07/07/2019,11450.84668,305.700562
08/07/2019,12285.95801,313.251404
09/07/2019,12573.8125,308.881012
10/07/2019,12156.5127,290.002319
11/07/2019,11358.66211,268.704041
12/07/2019,11815.98633,276.276703
13/07/2019,11392.37891,269.458801
14/07/2019,10256.05859,227.578064
15/07/2019,10895.08984,229.776001
16/07/2019,9477.641602,199.188675
17/07/2019,9693.802734,211.48497
18/07/2019,10666.48242,226.566162
19/07/2019,10530.73242,221.33342
20/07/2019,10767.13965,229.119217
21/07/2019,10599.10547,225.630768
22/07/2019,10343.10645,217.560013
23/07/2019,9900.767578,212.728516
24/07/2019,9811.925781,217.046371
25/07/2019,9911.841797,219.617996
26/07/2019,9870.303711,219.629608
27/07/2019,9477.677734,207.40831
28/07/2019,9552.860352,211.186554
29/07/2019,9519.145508,211.268051
30/07/2019,9607.423828,210.522598
31/07/2019,10085.62793,218.654144
01/08/2019,10399.66895,217.808441
02/08/2019,10518.17481,217.871567
03/08/2019,10821.72656,222.490341
04/08/2019,10970.18457,222.669724
05/08/2019,11805.65332,234.215027
06/08/2019,11478.16895,226.020645
07/08/2019,11941.96875,226.391006
08/08/2019,11966.40723,220.941864
09/08/2019,11862.93652,210.488907
10/08/2019,11354.02441,206.733536
11/08/2019,11523.5791,216.092865
12/08/2019,11382.61621,211.288071
13/08/2019,10895.83008,208.709045
14/08/2019,10051.7041,186.607742
15/08/2019,10311.5459,188.50206
16/08/2019,10374.33887,185.440079
17/08/2019,10231.74414,185.687683
18/08/2019,10345.81055,194.49353
19/08/2019,10916.05371,203.091934
20/08/2019,10763.23242,196.565414
21/08/2019,10138.04981,186.891632
22/08/2019,10131.05566,191.332916
23/08/2019,10407.96484,194.706207
24/08/2019,10159.96094,191.289566
25/08/2019,10138.51758,186.842392
26/08/2019,10370.82031,188.929382
27/08/2019,10185.5,187.516663
28/08/2019,9754.422852,173.889969
29/08/2019,9510.200195,169.516739
30/08/2019,9598.173828,168.834869
31/08/2019,9630.664063,172.469788
01/09/2019,9757.970703,171.629425
02/09/2019,10346.76074,178.347351
03/09/2019,10623.54004,179.499329
04/09/2019,10594.49316,175.992889
05/09/2019,10575.5332,174.217133
06/09/2019,10353.30273,169.956177
07/09/2019,10517.25488,178.262619
08/09/2019,10441.27637,181.35553
09/09/2019,10334.97461,181.14946
10/09/2019,10115.97559,179.78717
11/09/2019,10178.37207,178.725494
12/09/2019,10410.12695,181.016098
13/09/2019,10360.54688,181.109726
14/09/2019,10358.04883,188.105515
15/09/2019,10347.71289,189.789124
16/09/2019,10276.79395,197.113174
17/09/2019,10241.27246,208.608749
18/09/2019,10198.24805,211.393036
19/09/2019,10266.41504,221.280853
20/09/2019,10181.6416,218.050049
21/09/2019,10019.7168,215.516205
22/09/2019,10070.39258,211.54538
23/09/2019,9729.324219,201.92131
24/09/2019,8620.566406,168.110733
25/09/2019,8486.993164,170.8927
26/09/2019,8118.967773,166.727127
27/09/2019,8251.845703,174.710999
28/09/2019,8245.915039,174.572891
29/09/2019,8104.185547,170.503479
30/09/2019,8293.868164,179.872208
01/10/2019,8343.276367,177.340424
02/10/2019,8393.041992,180.71051
03/10/2019,8259.992188,175.199341
04/10/2019,8205.939453,176.985001
05/10/2019,8151.500488,176.351517
06/10/2019,7988.155762,173.059143
07/10/2019,8245.623047,181.18634
08/10/2019,8228.783203,182.021561
09/10/2019,8595.740234,193.293259
10/10/2019,8586.473633,191.659668
11/10/2019,8321.756836,182.569687
12/10/2019,8336.555664,180.826645
13/10/2019,8321.005859,182.07515
14/10/2019,8374.686523,186.960907
15/10/2019,8205.369141,181.406067
16/10/2019,8047.526855,176.013504
17/10/2019,8103.911133,178.028351
18/10/2019,7973.20752,173.621338
19/10/2019,7988.560547,172.913025
20/10/2019,8222.078125,175.534378
21/10/2019,8243.720703,174.92099
22/10/2019,8078.203125,172.300858
23/10/2019,7514.671875,162.402786
24/10/2019,7493.48877,162.168549
25/10/2019,8660.700195,181.523209
26/10/2019,9244.972656,179.83548
27/10/2019,9551.714844,184.242218
28/10/2019,9256.148438,182.662811
29/10/2019,9427.6875,190.342575
30/10/2019,9205.726563,184.692169
31/10/2019,9199.584961,183.966919
01/11/2019,9261.104492,183.969894
02/11/2019,9324.717773,183.92572
03/11/2019,9235.354492,182.425018
04/11/2019,9412.612305,186.355194
05/11/2019,9342.527344,189.304169
06/11/2019,9360.879883,191.593842
07/11/2019,9267.561523,187.976547
08/11/2019,8804.880859,184.211472
09/11/2019,8813.582031,185.028717
10/11/2019,9055.526367,189.47728
11/11/2019,8757.788086,185.489639
12/11/2019,8815.662109,186.843414
13/11/2019,8808.262695,188.258743
14/11/2019,8708.094727,185.999634
15/11/2019,8491.992188,180.521179
16/11/2019,8550.760742,183.348358
17/11/2019,8577.975586,185.119232
18/11/2019,8309.286133,180.559601
19/11/2019,8206.145508,177.455551
20/11/2019,8027.268066,175.698349
21/11/2019,7642.75,161.462723
22/11/2019,7296.577637,150.268173
23/11/2019,7397.796875,153.417786
24/11/2019,7047.916992,142.834702
25/11/2019,7146.133789,146.476532
26/11/2019,7218.371094,148.965073
27/11/2019,7531.663574,153.010559
28/11/2019,7463.105957,151.717575
29/11/2019,7761.243652,155.304153
30/11/2019,7569.629883,152.539688
01/12/2019,7424.29248,151.18573
02/12/2019,7321.988281,149.059158
03/12/2019,7320.145508,147.956421
04/12/2019,7252.034668,146.747742
05/12/2019,7448.307617,149.248993
06/12/2019,7546.996582,149.194443
07/12/2019,7556.237793,148.768158
08/12/2019,7564.345215,151.264725
09/12/2019,7400.899414,148.225174
10/12/2019,7278.119629,146.267044
11/12/2019,7217.427246,143.608002
12/12/2019,7243.134277,145.604004
13/12/2019,7269.68457,144.944748
14/12/2019,7124.673828,142.869232
15/12/2019,7152.301758,143.11499
16/12/2019,6932.480469,133.614029
17/12/2019,6640.515137,122.603889
18/12/2019,7276.802734,133.092194
19/12/2019,7202.844238,129.321136
20/12/2019,7218.816406,129.066055
21/12/2019,7191.158691,128.130951
22/12/2019,7511.588867,132.372513
23/12/2019,7355.628418,128.61409
24/12/2019,7322.532227,129.063889
25/12/2019,7275.155762,126.454636
26/12/2019,7238.966797,126.361221
27/12/2019,7290.088379,127.214607
28/12/2019,7317.990234,128.322708
29/12/2019,7422.652832,134.75798
30/12/2019,7292.995117,132.633484
31/12/2019,7193.599121,129.610855
01/01/2020,7200.174316,130.802002
02/01/2020,6985.470215,127.410179
03/01/2020,7344.884277,134.171707
04/01/2020,7410.656738,135.069366
05/01/2020,7411.317383,136.276779
06/01/2020,7769.219238,144.304153
07/01/2020,8163.692383,143.543991
08/01/2020,8079.862793,141.258133
09/01/2020,7879.071289,138.979202
10/01/2020,8166.554199,143.963776
11/01/2020,8037.537598,142.927109
12/01/2020,8192.494141,145.873932
13/01/2020,8144.194336,144.226593
14/01/2020,8827.764648,165.955353
15/01/2020,8807.010742,166.230682
16/01/2020,8723.786133,164.391006
17/01/2020,8929.038086,170.779953
18/01/2020,8942.808594,175.365677
19/01/2020,8706.245117,166.969849
20/01/2020,8657.642578,167.120514
21/01/2020,8745.894531,169.697159
22/01/2020,8680.875977,168.294159
23/01/2020,8406.515625,162.928558
24/01/2020,8445.43457,163.051178
25/01/2020,8367.847656,161.283936
26/01/2020,8596.830078,168.077103
27/01/2020,8909.819336,170.930893
28/01/2020,9358.589844,176.370316
29/01/2020,9316.629883,175.050339
30/01/2020,9508.993164,184.690475
31/01/2020,9350.529297,180.160172
01/02/2020,9392.875,183.67395
02/02/2020,9344.365234,188.617538
03/02/2020,9293.521484,189.865067
04/02/2020,9180.962891,189.250595
05/02/2020,9613.423828,204.23024
06/02/2020,9729.801758,212.339081
07/02/2020,9795.943359,222.726059
08/02/2020,9865.119141,223.146515
09/02/2020,10116.67383,228.578568
10/02/2020,9856.611328,223.522705
11/02/2020,10208.23633,235.851196
12/02/2020,10326.05469,265.406128
13/02/2020,10214.37988,268.099243
14/02/2020,10312.11621,284.217499
15/02/2020,9889.424805,264.728577
